Thickness,FRT,CT,% TCM Reduc,Cold Spot,Control Heating Time,Soaking Time,SPM Elongation,% Carbon,% Mn,%SI,%NB,%TI,YS (Mpa),,,,
0.8,924.15,700.89,79.38,660,425,811,0.6,0.003,0.08,0.008,0.001,0.0719,164,,,,
0.75,916.31,701.06,80.63,660,428,834,0.3,0.0022,0.05,0.008,0.001,0.074,179,,,,
0.7,923.05,703.14,81.88,660,428,779,0.3,0.0026,0.06,0.008,0.001,0.068,155,,,,
0.6,922.28,700.47,82.17,660,426,841,0.3,0.0023,0.07,0.008,0.001,0.068,179,,,,
1.2,909.92,568.04,69.2,670,426,970,0.8,0.03,0.15,0.005,0.001,0.001,178,,,,
0.65,898.53,569.31,77.4,670,431,910,0.8,0.035,0.16,0.006,0.001,0.001,157,,,,
1,906.09,565.62,74.23,670,429,885,0.8,0.04,0.15,0.006,0.001,0.001,172,,,,
1.8,890.36,562.4,63.26,670,427,899,0.8,0.05,0.17,0.006,0.001,0.001,175,,,,
0.7,921.08,698.32,81.88,660,424,774,0.3,0.002,0.0799,0.008,0.001,0.078,170,,,,
0.7,911.87,697.65,81.88,660,368,846,0.3,0.0027,0.06,0.005,0.001,0.064,178,,,,
1.2,922.74,697.78,72.76,660,425,900,0.3,0.0027,0.06,0.01,0.001,0.067,175,,,,
0.7,906.42,697.59,81.88,660,428,779,0.3,0.0019,0.07,0.007,0.001,0.074,165,,,,
1.8,891.66,565.33,68.33,670,427,908,0.8,0.03,0.16,0.005,0.001,0.001,163,,,,
1.8,901.47,566.78,63.26,670,427,899,0.8,0.035,0.14,0.004,0.001,0.001,161,,,,
1.8,899.82,566.16,63.26,670,427,899,0.8,0.045,0.14,0.005,0.001,0.001,159,,,,
0.65,919.48,700.54,80.71,670,425,900,0.3,0.0027,0.06,0.005,0.001,0.064,178,,,,
0.65,924.35,700.21,80.71,660,367,778,0.3,0.0022,0.09,0.008,0.001,0.075,167,,,,
0.7,915.57,698.58,81.88,660,365,787,0.3,0.0025,0.07,0.004,0.001,0.068,159,,,,
0.7,931.73,701.03,81.88,660,426,770,0.3,0.0025,0.07,0.004,0.001,0.068,163,,,,
0.7,924.85,701.2,81.88,660,426,840,0.3,0.0022,0.07,0.008,0.001,0.066,162,,,,
0.7,897.92,570.2,72,670,424,1020,0.8,0.05,0.2,0.019,0.001,0.001,179,,,,
0.8,913.37,699.58,79.38,660,428,808,0.3,0.0022,0.09,0.008,0.001,0.075,176,,,,
0.8,918.64,697.93,79.38,660,366,765,0.3,0.0027,0.07,0.006,0.001,0.069,170,,,,
