,Thickness,FRT,CT,% TCM Reduc,Cold Spot,Control Heating Time,Soaking Time,SPM Elongation,% Carbon,% Mn,%SI,%NB,%TI,YS (Mpa)
1111,0.6,903.82,567.29,77.61,670.0,428.0,933.0,0.8,0.035,0.16,0.004,0.001,0.001,163.0
1112,0.8,903.59,570.46,70.39,670.0,427.0,930.0,0.8,0.045,0.15,0.002,0.001,0.001,163.0
1113,0.8,903.79,563.45,70.39,670.0,427.0,930.0,0.8,0.04,0.16,0.006,0.001,0.001,154.0
1114,1.6,913.44,594.84,68.56,670.0,425.0,924.0,0.8,0.035,0.16,0.004,0.001,0.001,155.0
1115,0.7,915.49,697.3,81.88,660.0,427.0,750.0,0.3,0.0021,0.0599,0.002,0.001,0.0619,160.0
1116,1.6,901.33,572.86,68.56,670.0,427.0,862.0,0.8,0.045,0.15,0.002,0.001,0.001,165.0
1117,1.6,900.4,574.73,68.56,670.0,427.0,909.0,0.8,0.04,0.15,0.002,0.001,0.001,155.0
1118,1.6,898.6,571.76,68.56,670.0,427.0,930.0,0.8,0.04,0.15,0.002,0.001,0.001,152.0
1119,1.6,892.03,587.86,68.56,670.0,427.0,920.0,0.8,0.04,0.16,0.006,0.001,0.001,162.0
1120,1.6,900.36,583.19,68.56,670.0,426.0,914.0,0.8,0.035,0.16,0.004,0.001,0.001,164.0
1121,1.6,892.62,575.03,68.56,670.0,427.0,862.0,0.8,0.04,0.15,0.002,0.001,0.001,178.0
1122,1.6,898.78,571.68,68.56,670.0,428.0,930.0,0.8,0.04,0.15,0.002,0.001,0.001,179.0
1123,1.6,892.16,571.3,68.56,670.0,427.0,930.0,0.8,0.04,0.16,0.004,0.001,0.001,178.0
1124,0.8,885.71,561.72,72.37,670.0,429.0,930.0,0.8,0.04,0.14,0.005,0.001,0.001,150.0
1125,1.2,896.05,583.77,67.58,670.0,425.0,930.0,0.8,0.04,0.16,0.005,0.001,0.001,161.0
1126,0.6,893.26,567.14,79.1,670.0,427.0,909.0,0.8,0.035,0.2,0.0049,0.001,0.001,177.0
1127,0.6,899.4,566.65,79.1,670.0,427.0,922.0,0.8,0.045,0.15,0.002,0.001,0.001,157.0
1128,1.2,916.75,698.78,72.76,660.0,425.0,780.0,0.3,0.0016,0.05,0.005,0.001,0.062,147.0
1129,1.0,903.6,569.27,74.23,670.0,427.0,922.0,0.8,0.035,0.16,0.005,0.001,0.001,147.0
1130,1.0,905.68,567.66,74.23,670.0,428.0,933.0,0.8,0.04,0.15,0.002,0.001,0.001,168.0
1131,0.9,895.61,567.82,69.0,670.0,428.0,930.0,0.8,0.05,0.17,0.004,0.001,0.001,157.0
1132,0.65,891.99,558.39,75.79,670.0,427.0,930.0,0.8,0.04,0.15,0.002,0.001,0.001,153.0
1133,0.65,897.61,568.77,75.79,670.0,429.0,929.0,0.8,0.035,0.2,0.0049,0.001,0.001,155.0
1134,0.75,886.49,563.2,67.54,670.0,426.0,930.0,0.8,0.035,0.2,0.0049,0.001,0.001,155.0
1135,0.65,899.75,560.87,75.79,670.0,426.0,930.0,0.8,0.035,0.18,0.004,0.001,0.001,165.0
1136,1.4,905.34,593.96,71.32,670.0,427.0,920.0,0.8,0.035,0.16,0.005,0.001,0.001,178.0
1137,0.6,894.49,566.64,79.1,670.0,427.0,922.0,0.8,0.045,0.15,0.002,0.001,0.001,171.0
1138,0.7,910.08,699.72,81.88,660.0,426.0,780.0,0.3,0.0022,0.06,0.006,0.001,0.063,145.0
